Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Year
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,2021-05-02,20210504,1479.1,1264.0,4,2021
Louisiana Flooding (May 2021),Flooding,2021-05-17,20210518,1569.6,1319.0,5,2021
Ohio Valley Hail Storms (June 2021),Severe Storm,2021-06-17,20210618,1980.1,1707.0,0,2021
Central Severe Storms (June 2021),Severe Storm,2021-06-24,20210626,1453.6,1253.0,0,2021
Tropical Storm Elsa (July 2021),Tropical Cyclone,2021-07-07,20210709,1407.1,1213.0,1,2021
Central Severe Storms (July 2021),Severe Storm,2021-07-08,20210711,1252.8,1080.0,0,2021
North Central Severe Weather (August 2021),Severe Storm,2021-08-10,20210813,1489.5,1284.0,2,2021
Tropical Storm Fred (August 2021),Tropical Cyclone,2021-08-16,20210818,1481.3,1277.0,7,2021
Hurricane Ida (August 2021),Tropical Cyclone,2021-08-29,20210901,84608.1,73572.0,96,2021
Hurricane Nicholas (September 2021),Tropical Cyclone,2021-09-14,20210918,1168.5,1016.0,0,2021
"Southeast, Central Tornado Outbreak (December 2021)",Severe Storm,2021-12-10,20211210,4463.1,3915.0,93,2021
Midwest Derecho and Tornado Outbreak (December 2021),Severe Storm,2021-12-15,20211215,2031.5,1782.0,1,2021
Western Wildfires (2021),Wildfire,2021-06-01,20211231,12064.0,10400.0,8,2021
Western Drought and Heat Wave (2021),Drought,2021-01-01,20211231,10201.9,8431.0,229,2021
Texas Hail Storms (February 2022),Severe Storm,2022-02-21,20220222,1118.9,1008.0,0,2022
Southern Tornado Outbreak (March 2022),Severe Storm,2022-03-30,20220330,1381.6,1256.0,2,2022
Southeast Tornado Outbreak (April 2022),Severe Storm,2022-04-04,20220406,1544.8,1417.0,3,2022
Southern Severe Weather (April 2022),Severe Storm,2022-04-11,20220413,2915.7,2675.0,1,2022
Southern and Central Severe Weather (May 2022),Severe Storm,2022-05-01,20220503,1230.1,1139.0,1,2022
North Central Hail Storms (May 2022),Severe Storm,2022-05-09,20220509,2354.4,2160.0,0,2022
North Central Severe Weather (May 2022),Severe Storm,2022-05-11,20220512,2949.6,2706.0,1,2022
North Central Hail Storms (May 2022),Severe Storm,2022-05-19,20220519,2625.4,2431.0,0,2022
Central Severe Weather (June 2022),Severe Storm,2022-06-07,20220608,2044.8,1911.0,0,2022
Central Derecho (June 2022),Severe Storm,2022-06-13,20220613,3418.6,3195.0,1,2022
North Central and Eastern Severe Weather (July 2022),Severe Storm,2022-07-22,20220724,1433.8,1340.0,1,2022
Kentucky and Missouri Flooding (July 2022),Flooding,2022-07-26,20220728,1567.6,1465.0,42,2022
Hurricane Fiona (September 2022),Tropical Cyclone,2022-09-17,20220918,2685.7,2510.0,25,2022
Hurricane Ian (September 2022),Tropical Cyclone,2022-09-28,20220930,119626.0,111800.0,152,2022
Hurricane Nicole (November 2022),Tropical Cyclone,2022-11-10,20221111,1081.2,1020.0,5,2022
Western Wildfires (Spring-Fall 2022),Wildfire,2022-04-01,20221130,3327.9,3110.0,17,2022
Central and Eastern Winter Storm and Cold Wave (December 2022),Winter Storm,2022-12-21,20221226,8951.7,8445.0,87,2022
Western/Central Drought and Heat Wave (2022),Drought,2022-01-01,20221231,23480.6,20965.0,136,2022
Northeastern Winter Storm/Cold Wave (February 2023),Winter Storm,2023-02-02,20230205,1838.8,1751.0,1,2023
Southern and Eastern Severe Weather (March 2023),Severe Storm,2023-03-02,20230303,6170.0,5876.0,13,2023
California Flooding (December 2022 - March 2023),Flooding,2022-12-26,20230319,4725.0,4500.0,22,2022
Southern and Eastern Severe Weather (April 2023),Severe Storm,2023-03-24,20230326,2956.0,2815.0,23,2023
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Severe Storm,2023-03-31,20230401,5909.8,5628.0,33,2023
Central and Eastern Severe Weather (April 2023),Severe Storm,2023-04-04,20230406,2956.1,2815.0,5,2023
Fort Lauderdale Flash Flood (April 2023),Flooding,2023-04-12,20230413,1144.0,1100.0,0,2023
Central and Southern Severe Weather (April 2023),Severe Storm,2023-04-15,20230415,1401.9,1335.0,0,2023
Central Severe Weather (April 2023),Severe Storm,2023-04-19,20230420,3108.3,2960.0,1,2023
Southern Severe Weather (April 2023),Severe Storm,2023-04-25,20230427,1372.8,1320.0,0,2023
Central Severe Weather (May 2023),Severe Storm,2023-05-06,20230508,2222.5,2137.0,1,2023
Central and Eastern Tornadoes and Hail Storms (May 2023),Severe Storm,2023-05-10,20230512,3563.0,3426.0,1,2023
Texas Hail Storms (May 2023),Severe Storm,2023-05-18,20230519,1690.0,1625.0,0,2023
Typhoon Mawar (May 2023),Tropical Cyclone,2023-05-24,20230525,4420.0,4250.0,2,2023
Southern Severe Weather (June 2023),Severe Storm,2023-06-11,20230614,4193.2,4032.0,0,2023
Central and Southern Severe Weather (June 2023),Severe Storm,2023-06-15,20230618,3918.7,3768.0,5,2023
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Severe Storm,2023-06-21,20230626,5453.9,5244.0,8,2023
Central Severe Weather (June 2023),Severe Storm,2023-06-28,20230702,1976.8,1919.0,3,2023
Northeastern Flooding and North Central Severe Weather (July 2023),Flooding,2023-07-09,20230715,2230.4,2165.0,10,2023
North Central and Southeastern Severe Weather (July 2023),Severe Storm,2023-07-19,20230721,1887.0,1832.0,1,2023
North Central and Eastern Severe Weather (July 2023),Severe Storm,2023-07-28,20230729,1526.6,1482.0,2,2023
Hawaii Firestorm (August 2023),Wildfire,2023-08-08,20230808,5665.0,5500.0,100,2023
Northeastern and Eastern Severe Weather (August 2023),Severe Storm,2023-08-05,20230808,1680.2,1631.0,4,2023
Minnesota Hail Storms (August 2023),Severe Storm,2023-08-11,20230811,1828.3,1775.0,0,2023
Hurricane Idalia (August 2023),Tropical Cyclone,2023-08-29,20230831,3559.7,3456.0,5,2023
Southern Hail Storms (September 2023),Severe Storm,2023-09-23,20230924,1694.5,1645.0,0,2023
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Drought,2023-04-01,20230930,14786.7,14082.0,247,2023
East Coast Storm and Flooding (December 2023),Flooding,2023-12-16,20231218,1314.4,1276.0,5,2023
